Vol,No.,day,mo,year,Collection,Book ID,JP2 ,start page,Notes (see orig file for page links),Derivative JPEG
47,4,,12,1937,MOMA,pictureplay4547stre,pictureplay4547stre_1093.jp2,https://archive.org/stream/pictureplay4547stre#page/n1091/mode/2up,pic cut,Picture-Play_vol47_no4_dd-12-1937_sml.jpg
47,5,,1,1938,MOMA,pictureplay3739stre,pictureplay3739stre_0007.jp2,https://archive.org/stream/pictureplay3739stre#page/n5/mode/2up,,Picture-Play_vol47_no5_dd-1-1938_sml.jpg
47,6,,2,1938,MOMA,pictureplay3739stre,,,,
48,1,,3,1938,MOMA,pictureplay3739stre,pictureplay3739stre_0091.jp2,https://archive.org/stream/pictureplay3739stre#page/n89/mode/2up,,Picture-Play_vol48_no1_dd-3-1938_sml.jpg
48,2,,4,1938,MOMA,pictureplay3739stre,pictureplay3739stre_0175.jp2,https://archive.org/stream/pictureplay3739stre#page/n174/mode/1up,,Picture-Play_vol48_no2_dd-4-1938_sml.jpg
48,3,,5,1938,MOMA,pictureplay3739stre,,,,
48,4,,6,1938,MOMA,pictureplay3739stre,,,,
48,5,,7,1938,MOMA,pictureplay3739stre,,,,
48,6,,8,1938,MOMA,pictureplay3739stre,,,,
49,1,,9,1938,MOMA,pictureplay3739stre,,,,
49,2,,10,1938,MOMA,pictureplay3739stre,pictureplay3739stre_0259.jp2,https://archive.org/stream/pictureplay3739stre#page/n257/mode/2up,,Picture-Play_vol49_no2_dd-10-1938_sml.jpg
49,3,,11,1938,MOMA,pictureplay3739stre,,,,
49,4,,12,1938,MOMA,pictureplay3739stre,,,,
